"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
dart_PurchaseOfAvailableForSaleFinancialAssets,매도가능금융자산의 취득,Purchase of available-for-sale financial assets,ifrs-full:StatementOfCashFlowsAbstract,투자활동으로 인한 현금흐름,매도가능금융자산의 취득,0.0,0.0,0.0
dart_PurchaseOfFinancialInstruments,파생금융상품의 취득,Purchase of financial instruments,ifrs-full:StatementOfCashFlowsAbstract,투자활동으로 인한 현금흐름,파생금융상품의 취득,72590303985.0,65612853598.0,20274780664.0
dart_PurchaseOfFairValueFinancialAsset,당기손익-공정가치측정 금융자산의 취득,Purchase of fair value financial asset,ifrs-full:StatementOfCashFlowsAbstract,투자활동으로 인한 현금흐름,당기손익-공정가치측정 금융자산의 취득,45983403529.0,0.0,0.0
entity00358271_udf_CF_201881391253573_CashFlowsFromUsedInInvestingActivities,기타포괄손익-공정가치측정 금융자산의 취득,Increase in Current financial assets measured at fair value through other,ifrs-full:StatementOfCashFlowsAbstract,투자활동으로 인한 현금흐름,기타포괄손익-공정가치측정 금융자산의 취득,208156706311.0,204252700970.0,0.0
dart_PurchaseOfOtherFinancialAssets,기타금융자산의 취득,Purchase of other financial assets,ifrs-full:StatementOfCashFlowsAbstract,투자활동으로 인한 현금흐름,기타금융자산의 취득,30705216899.0,343379274485.0,71354911998.0
dart_IncreaseInGuaranteeDeposits,보증금의 증가,Increase in guarantee deposits,ifrs-full:StatementOfCashFlowsAbstract,투자활동으로 인한 현금흐름,보증금의 증가,1355797425.0,1693889779.0,2605793203.0
dart_PurchaseOfOtherNonCurrentFinancialAssets,기타비유동금융자산의 취득,Purchase of other non-current financial assets,ifrs-full:StatementOfCashFlowsAbstract,투자활동으로 인한 현금흐름,기타비유동금융자산의 취득,0.0,0.0,367439499.0
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동으로 인한 현금흐름,Cash flows from (used in) financing activities,ifrs-full:StatementOfCashFlowsAbstract,재무활동으로 인한 현금흐름,,-50026229725.0,-133924806492.0,-5977313681.0
dart_DispositionOfTreasuryShares,자기주식의 처분,Disposition of treasury shares,ifrs-full:StatementOfCashFlowsAbstract,재무활동으로 인한 현금흐름,자기주식의 처분,2145265200.0,2258248750.0,43043918115.0
ifrs-full_ProceedsFromBorrowingsClassifiedAsFinancingActivities,차입금의 증가,Proceeds from borrowings,ifrs-full:StatementOfCashFlowsAbstract,재무활동으로 인한 현금흐름,차입금의 증가,17571615705.0,38705551547.0,25210498242.0
