"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
dart_PurchaseOfNonCurrentAvailableForSaleFinancialAssets,비유동매도가능금융자산의 취득,Purchase of non-current available-for-sale financial assets,현금흐름표 [abstract],투자활동현금흐름,비유동매도가능금융자산의 취득,,5943511507.0,1290000000.0
dart_PurchaseOfLongTermFinancialInstruments,장기금융상품의 취득,Purchase of long-term financial instruments,현금흐름표 [abstract],투자활동현금흐름,장기금융상품의 취득,323185716.0,323188449.0,215998488.0
dart_PurchaseOfCurrentFairValueFinancialAsset,유동당기손익인식금융자산의 취득,Purchase of current fair value financial asset,현금흐름표 [abstract],투자활동현금흐름,유동당기손익인식금융자산의 취득,145640000.0,7518400000.0,
entity00384762_udf_CF_201932515133683_CashFlowsFromUsedInInvestingActivities,기타포괄손익-공정기차측정금융자산,Process train measurement financial assets,현금흐름표 [abstract],투자활동현금흐름,기타포괄손익-공정기차측정금융자산,,-500000000.0,
dart_IncreaseInLoans,대여금의 증가,Increase in loans,현금흐름표 [abstract],투자활동현금흐름,대여금의 증가,8648705000.0,,1360000000.0
ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 취득,8190563584.0,1776020385.0,1063140068.0
ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,현금흐름표 [abstract],투자활동현금흐름,무형자산의 취득,,,197578982.0
dart_PurchaseOfInvestmentProperty,투자부동산의 취득,Purchase of investment property,현금흐름표 [abstract],투자활동현금흐름,투자부동산의 취득,,,
dart_PurchaseOfConstructionInProgress,건설중인자산의 취득,Purchase of construction in progress,현금흐름표 [abstract],투자활동현금흐름,건설중인자산의 취득,851943362.0,1792705698.0,81000000.0
dart_PurchaseOfInvestmentsInSubsidiaries,종속기업에 대한 투자자산의 취득,Purchase of investments in subsidiaries,현금흐름표 [abstract],투자활동현금흐름,종속기업에 대한 투자자산의 취득,,,6346490143.0
ifrs-full_PurchaseOfOtherLongtermAssetsClassifiedAsInvestingActivities,기타 장기성 자산의 취득,Purchase of other long-term assets,현금흐름표 [abstract],투자활동현금흐름,기타 장기성 자산의 취득,200000000.0,503010000.0,71814000.0
