"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
entity00353018_udf_CF_202022414304062_CashFlowsFromUsedInInvestingActivities,연결대상 범위의 변동,Changes in consolidated companies,현금흐름표 [abstract],투자활동현금흐름,연결대상 범위의 변동,117454774.0,,
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동현금흐름,,-2779682911.0,91538827277.0,51156439747.0
ifrs-full_ProceedsFromIssuingShares,주식의 발행,Proceeds from issuing shares,현금흐름표 [abstract],재무활동현금흐름,주식의 발행,,,19669505926.0
ifrs-full_RepaymentsOfBorrowingsClassifiedAsFinancingActivities,유동차입금의 상환,Repayments of borrowings,현금흐름표 [abstract],재무활동현금흐름,유동차입금의 상환,,15455838.0,3978371111.0
dart_ProceedsFromShortTermBorrowings,단기차입금의 증가,Proceeds from short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 증가,6886395800.0,30486020000.0,25060416254.0
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 상환,2549266000.0,17977499560.0,24469073026.0
dart_ProceedsFromLongTermBorrowings,장기차입금의 증가,Proceeds from long term borrowings,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 증가,,62247224056.0,3059072000.0
dart_RepaymentsOfLongTermBorrowings,장기차입금의 상환,Repayments of long term borrowings,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 상환,2200000000.0,,
dart_ProceedsFromBonds,사채의 증가,Proceeds from bonds,현금흐름표 [abstract],재무활동현금흐름,사채의 증가,5000000000.0,5500000000.0,28000000000.0
dart_RepaymentsOfBonds,사채의 상환,Repayments of bonds,현금흐름표 [abstract],재무활동현금흐름,사채의 상환,7000000000.0,20166666669.0,7000000001.0
dart_ProceedsFromConvertibleBonds,전환사채의 증가,Proceeds from convertible bonds,현금흐름표 [abstract],재무활동현금흐름,전환사채의 증가,,31601440000.0,28916350000.0
dart_RepaymentsOfConvertibleBonds,전환사채의 감소,Repayments of convertible bonds,현금흐름표 [abstract],재무활동현금흐름,전환사채의 감소,2034443531.0,,18309374742.0
dart_ProceedsFromExerciseOfShareOptions,주식선택권행사로 인한 현금유입,Proceeds from exercise of share options,현금흐름표 [abstract],재무활동현금흐름,주식선택권행사로 인한 현금유입,,,
dart_AcquisitionOfTreasuryShares,자기주식의 취득,Acquisition of treasury shares,현금흐름표 [abstract],재무활동현금흐름,자기주식의 취득,,,
dart_DispositionOfTreasuryShares,자기주식의 처분,Disposition of treasury shares,현금흐름표 [abstract],재무활동현금흐름,자기주식의 처분,,,263984616.0
ifrs-full_PaymentsOfFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,금융리스부채의 지급,Payments of finance lease liabilities,현금흐름표 [abstract],재무활동현금흐름,금융리스부채의 지급,882369180.0,144055704.0,324181979.0
dart_ProceedsFromFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,금융리스부채의 증가,Proceeds from finance lease liabilities classified as financing activities,현금흐름표 [abstract],재무활동현금흐름,금융리스부채의 증가,,7820992.0,268111810.0
ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의순증가(감소),Net increase (decrease) in cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산의순증가(감소),,-8711845182.0,898410018.0,10962733752.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,14563101644.0,13657781345.0,2679632364.0
entity00353018_udf_CF_201996102156636_StatementOfCashFlowsAbstract,현금및현금성자산의 환율변동효과,Effect of exchange rate change on cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산의 환율변동효과,,7573029.0,6910281.0,-4130771.0
entity00353018_udf_CF_2020225143515805_StatementOfCashFlowsAbstract,중단사업으로 발생한 순현금흐름,Adjustments for cash flow from discontinued operations,현금흐름표 [abstract],중단사업으로 발생한 순현금흐름,,,,19546000.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,5858829491.0,14563101644.0,13657781345.0
