"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,현금흐름표 [abstract],투자활동으로 인한 현금흐름,무형자산의 취득,,,5693200.0
dart_PurchaseOfLoansAndReceivables,비유동기타수취채권의 증가,Purchase of loans and receivables,현금흐름표 [abstract],투자활동으로 인한 현금흐름,비유동기타수취채권의 증가,,518452126.0,869059383.0
dart_RepaymentOfGovernmentGrantsClassifiedAsInvestingActivities,정부보조금의 감소,Repayment of government grants classified as investing activities,현금흐름표 [abstract],투자활동으로 인한 현금흐름,정부보조금의 감소,,,165457643.0
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동현금흐름,,-3816632653.0,32246638913.0,28438253855.0
dart_ProceedsFromShortTermBorrowings,단기차입금의 차입,Proceeds from short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 차입,2000000000.0,8825316603.0,26164813967.0
dart_ProceedsFromFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,금융리스부채의 증가,Proceeds from finance lease liabilities classified as financing activities,현금흐름표 [abstract],재무활동현금흐름,금융리스부채의 증가,,,2075000000.0
dart_ProceedsFromLongTermBorrowings,장기차입금의 차입,Proceeds from long term borrowings,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 차입,2000000000.0,,
dart_IncreaseInGuaranteeDepositsAsFinancialActivities,임대보증금의 증가,Increase in guarantee deposits as financial activities,현금흐름표 [abstract],재무활동현금흐름,임대보증금의 증가,95000000.0,,
dart_ProceedsFromConvertibleBonds,전환사채의 증가,Proceeds from convertible bonds,현금흐름표 [abstract],재무활동현금흐름,전환사채의 증가,,14300000000.0,19000000000.0
ifrs-full_ProceedsFromIssuingShares,유상증자,Proceeds from issuing shares,현금흐름표 [abstract],재무활동현금흐름,유상증자,,15299999000.0,10985179815.0
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 상환,7911632653.0,6178676690.0,23831976864.0
entity00618410_udf_CF_2020316931331_CashFlowsFromUsedInFinancingActivities,유동성장기부채의 상환,Repayment of long-term liquidity liabilities,현금흐름표 [abstract],재무활동현금흐름,유동성장기부채의 상환,,,4624930000.0
ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금지급,Dividends paid,현금흐름표 [abstract],재무활동현금흐름,배당금지급,,,510585000.0
ifrs-full_PaymentsOfFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,금융리스부채의 상환,Payments of finance lease liabilities,현금흐름표 [abstract],재무활동현금흐름,금융리스부채의 상환,,,819248063.0
ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,현금및현금성자산의 환율변동,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산의 환율변동,,-6567768.0,-1948696.0,-148895.0
entity00618410_udf_CF_202031610118837_StatementOfCashFlowsAbstract,연결범위변동에 의한 현금의 감소,Decrease in cash due to changes in consolidation scope,현금흐름표 [abstract],연결범위변동에 의한 현금의 감소,,,-636047117.0,
ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의 증가(감소),Net increase (decrease) in cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산의 증가(감소),,-160266928.0,-5439084434.0,2099074179.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,1702443577.0,7141528011.0,5042453832.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,1542176649.0,1702443577.0,7141528011.0
