"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
entity00230911_udf_CF_20191031164959958_udf_CF_201711110415571_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,당기손익-공정가치측정금융자산처분손실(이익),"Losses(profits) on disposal of Non-current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,비현금비용(수익)조정,당기손익-공정가치측정금융자산처분손실(이익),-28219162.0,0.0,0.0
entity00230911_udf_CF_2019728161130291_udf_CF_201711110415571_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,무형자산처분손실(이익),Adjustments for losses(profits) on disposal of intangible assets,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,비현금비용(수익)조정,무형자산처분손실(이익),0.0,-79530000.0,-9000000.0
entity00230911_udf_CF_2019728161233618_udf_CF_201711110415571_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,투자부동산처분손실(이익),Adjustments for losses(profits) from  disposition of investments in real estate,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,비현금비용(수익)조정,투자부동산처분손실(이익),0.0,27908159.0,0.0
entity00230911_udf_CF_2020220134342882_udf_CF_201711110415571_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,기타자산손상차손(이익),Adjustments for Impairment(profits) of Other Assets,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,비현금비용(수익)조정,기타자산손상차손(이익),1009480161.0,13142055778.0,0.0
entity00230911_udf_CF_2017111104512339_udf_CF_201711110415571_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,외화환산손실(이익),Adjustments for losses(profits) on foreign exchange translations,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,비현금비용(수익)조정,외화환산손실(이익),12959318.0,-62758374.0,153103626.0
entity00230911_udf_CF_20191031165148777_udf_CF_201711110415571_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,잡손실(이익),Adjustments for miscellaneous losses(profits),현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,비현금비용(수익)조정,잡손실(이익),2257066.0,0.0,0.0
entity00230911_udf_CF_2017111104536121_udf_CF_201711110415571_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,이자수익,Interest income,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,비현금비용(수익)조정,이자수익,-93523655.0,-54628940.0,-83952871.0
entity00230911_udf_CF_2017111104550418_udf_CF_201711110415571_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,이자비용,Interest cost,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,비현금비용(수익)조정,이자비용,622015216.0,530527644.0,331683284.0
entity00230911_udf_CF_20195311209949_udf_CF_201711110415571_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,배당금수익,Dividends income,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,비현금비용(수익)조정,배당금수익,-3500000.0,0.0,0.0
entity00230911_udf_CF_2017111115738151_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,영업활동으로인한자산ㆍ부채의변동,Adjustments for assets and liabilities of operating activities,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,영업활동으로인한자산ㆍ부채의변동,,15801364055.0,-22052393729.0,-6486334747.0
entity00230911_udf_CF_201711111599589_udf_CF_2017111115738151_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,재고자산의 감소(증가),Adjustments for decrease (increase) in inventories,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,영업활동으로인한자산ㆍ부채의변동,재고자산의 감소(증가),16091064955.0,-16160547177.0,-2020806318.0
entity00230911_udf_CF_201711112033778_udf_CF_2017111115738151_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,매출채권의 감소(증가),Adjustments for decrease (increase) in trade,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,영업활동으로인한자산ㆍ부채의변동,매출채권의 감소(증가),1950221664.0,-477235007.0,-2062545643.0
entity00230911_udf_CF_201711112047403_udf_CF_2017111115738151_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,기타수취채권의 감소(증가),Adjustments for  decrease (increase) in other receivables,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,영업활동으로인한자산ㆍ부채의변동,기타수취채권의 감소(증가),99444352.0,-107459824.0,24653535.0
entity00230911_udf_CF_20171111211669_udf_CF_2017111115738151_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,기타유동자산의 감소(증가),Adjustments for decrease (increase) in other current assets,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,영업활동으로인한자산ㆍ부채의변동,기타유동자산의 감소(증가),-1063936951.0,-4122441920.0,-1304333677.0
entity00230911_udf_CF_201711112126513_udf_CF_2017111115738151_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,매입채무의 증가(감소),Adjustments for increase (decrease) in trade accounts payable,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,영업활동으로인한자산ㆍ부채의변동,매입채무의 증가(감소),-627432248.0,-229787615.0,41379477.0
entity00230911_udf_CF_20171111213713_udf_CF_2017111115738151_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,기타지급채무의 증가(감소),Adjustments for increase (decrease) in other payment liabilities,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,영업활동으로인한자산ㆍ부채의변동,기타지급채무의 증가(감소),328448895.0,-30718764.0,-277292733.0
entity00230911_udf_CF_201711112149513_udf_CF_2017111115738151_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,기타유동부채의 증가(감소),Adjustments for increase (decrease) in other current liabilities,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,영업활동으로인한자산ㆍ부채의변동,기타유동부채의 증가(감소),-39966082.0,31563869.0,47676510.0
entity00230911_udf_CF_20171111220138_udf_CF_2017111115738151_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,퇴직금의 지급,Adjustments for increase (decrease) in post-employment benefit obligations,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,영업활동으로인한자산ㆍ부채의변동,퇴직금의 지급,-209468750.0,-398596540.0,-192658500.0
entity00230911_udf_CF_201711112212451_udf_CF_2017111115738151_udf_CF_2017111103846788_CashFlowsFromUsedInOperatingActivities,사외적립자산의 감소(증가),Adjustments for decrease (increase) in plan assets,현금흐름표 [abstract],영업활동현금흐름,영업활동에서 창출된 현금,영업활동으로인한자산ㆍ부채의변동,사외적립자산의 감소(증가),-727011780.0,-557170751.0,-742407398.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자수취,Interest received,현금흐름표 [abstract],영업활동현금흐름,이자수취,,,89608814.0,71075537.0,83106996.0
ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금수취,Dividends received,현금흐름표 [abstract],영업활동현금흐름,배당금수취,,,3500000.0,0.0,0.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자지급,Interest paid,현금흐름표 [abstract],영업활동현금흐름,이자지급,,,681110447.0,524566478.0,294559098.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세납부,Income taxes paid,현금흐름표 [abstract],영업활동현금흐름,법인세납부,,,183591258.0,1816775453.0,1061617845.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동현금흐름,,,,3883276478.0,113884267.0,-409907387.0
dart_PurchaseOfShortTermFinancialInstruments,단기금융상품의 증가,Purchase of short term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,단기금융상품의 증가,,,7132398.0,7794684.0,0.0
dart_ProceedsFromSalesOfShortTermFinancialInstruments,단기금융상품의 감소,Proceeds from sales of short term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,단기금융상품의 감소,,,39403710.0,0.0,0.0
dart_PurchaseOfLongTermFinancialInstruments,장기금융상품의 증가,Purchase of long-term financial instruments,현금흐름표 [abstract],투자활동현금흐름,장기금융상품의 증가,,,18531186.0,13195655.0,15411946.0
dart_ProceedsFromSalesOfLongTermFinancialInstruments,장기금융상품의 감소,Proceeds from sales of long-term financial instruments,현금흐름표 [abstract],투자활동현금흐름,장기금융상품의 감소,,,0.0,0.0,81062.0
dart_PurchaseOfAvailableForSaleFinancialAssets,매도가능금융자산의 증가,Purchase of available-for-sale financial assets,현금흐름표 [abstract],투자활동현금흐름,매도가능금융자산의 증가,,,0.0,0.0,60000000.0
entity00230911_udf_CF_20188711304940_CashFlowsFromUsedInInvestingActivities,당기손익-공정가치측정금융자산의 증가,"Purchase of Non-current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",현금흐름표 [abstract],투자활동현금흐름,당기손익-공정가치측정금융자산의 증가,,,-60000000.0,-60000000.0,0.0
entity00230911_udf_CF_20191031165515416_CashFlowsFromUsedInInvestingActivities,당기손익-공정가치측정금융자산의 감소,"Proceeds from sales of Non-current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",현금흐름표 [abstract],투자활동현금흐름,당기손익-공정가치측정금융자산의 감소,,,1661906628.0,0.0,0.0
entity00230911_udf_CF_201972816152442_CashFlowsFromUsedInInvestingActivities,기타포괄손익-공정가치측정금융자산의 증가,Purchase of Non-current financial assets measured at fair value through other comprehensive income,현금흐름표 [abstract],투자활동현금흐름,기타포괄손익-공정가치측정금융자산의 증가,,,0.0,-500000000.0,0.0
entity00230911_udf_CF_20191031165658829_CashFlowsFromUsedInInvestingActivities,기타포괄손익-공정가치측정금융자산의 감소,Proceeds from sales of Non-current financial assets measured at fair value through other comprehensive income,현금흐름표 [abstract],투자활동현금흐름,기타포괄손익-공정가치측정금융자산의 감소,,,2359674130.0,0.0,0.0
ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 취득,,,160103290.0,449257551.0,298313003.0
ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 처분,,,6734000.0,65807982.0,98000.0
ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,현금흐름표 [abstract],투자활동현금흐름,무형자산의 취득,,,32500000.0,262720545.0,43162228.0
ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분,Proceeds from sales of intangible assets,현금흐름표 [abstract],투자활동현금흐름,무형자산의 처분,,,0.0,469530000.0,25000000.0
dart_ProceedsFromSalesOfInvestmentProperty,투자부동산의 처분,Proceeds from sales of investment property,현금흐름표 [abstract],투자활동현금흐름,투자부동산의 처분,,,0.0,774500000.0,0.0
entity00230911_udf_CF_201711111453761_CashFlowsFromUsedInInvestingActivities,기타수취채권의 증가,Increase of other receivables,현금흐름표 [abstract],투자활동현금흐름,기타수취채권의 증가,,,112054447.0,175850880.0,150813806.0
entity00230911_udf_CF_2019728161639923_CashFlowsFromUsedInInvestingActivities,기타수취채권의 감소,Decrease of other receivables,현금흐름표 [abstract],투자활동현금흐름,기타수취채권의 감소,,,205879331.0,272865600.0,132614534.0
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동현금흐름,,,,-16473534510.0,10667616000.0,-586644000.0
dart_ProceedsFromShortTermBorrowings,단기차입금의 증가,Proceeds from short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 증가,,,6530000000.0,6000000000.0,0.0
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 상환,,,4200000000.0,0.0,0.0
dart_ProceedsFromLongTermBorrowings,장기차입금의 증가,Proceeds from long term borrowings,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 증가,,,0.0,6000000000.0,0.0
dart_RepaymentsOfLongTermBorrowings,장기차입금의 상환,Repayments of long term borrowings,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 상환,,,6000000000.0,0.0,0.0
entity00230911_udf_CF_201881155853877_CashFlowsFromUsedInFinancingActivities,유동성장기부채의 상환,Repayments of current portion of long-term liabilities,현금흐름표 [abstract],재무활동현금흐름,유동성장기부채의 상환,,,-12000000000.0,-24000000.0,-96000000.0
ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금지급,Dividends paid,현금흐름표 [abstract],재무활동현금흐름,배당금지급,,,490644000.0,1308384000.0,490644000.0
ifrs-full_PaymentsOfFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,리스부채의 감소,Payments of finance lease liabilities,현금흐름표 [abstract],재무활동현금흐름,리스부채의 감소,,,312890510.0,0.0,0.0
ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,현금및현금성자산에 대한 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산에 대한 환율변동효과,,,,-25708171.0,33687986.0,-56436002.0
ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의순증가(감소),Net increase (decrease) in cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산의순증가(감소),,,,7294517693.0,-6508986748.0,1912180990.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,,,10935438088.0,17444424836.0,15532243846.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,,,18229955781.0,10935438088.0,17444424836.0
