date,company,매출총이익,법인세비용차감전순이익(손실),당기순이익(손실),판매비와관리비
20111231,금강제강,591907148.0,-13509435372.0,-11260872179.0,7841895309.0
20101231,금강제강,13444476213.0,2073005833.0,1519307289.0,9770100097.0
20111231,배명금속,8510337046.0,376240588.0,627781200.0,5065406425.0
20101231,배명금속,7700935418.0,-5482424803.0,-5245282081.0,9233609836.0
20111231,풍림산업,2072700894.0,-41366351473.0,-35852563764.0,43867147172.0
20101231,풍림산업,29044164067.0,-91069640922.0,-74624076085.0,41531574825.0
