"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
entity00599887_udf_CF_20171113101235179_CashFlowsFromUsedInInvestingActivities,파생금융상품의 감소,"Cash receipts from forward contracts, option contracts",현금흐름표 [abstract],투자활동현금흐름,파생금융상품의 감소,970573841.0,,,,,,,
dart_PurchaseOfFinancialInstruments,금융기관예치금의 증가,Purchase of financial instruments,현금흐름표 [abstract],투자활동현금흐름,금융기관예치금의 증가,871486250.0,483292762.0,3662543007.0,943842795.0,2159237836.0,1274837495.0,2787012533.0,18417606163.0
dart_PurchaseOfShortTermLoansAndReceivables,단기대여금의 증가,Purchase of short-term loans and receivables,현금흐름표 [abstract],투자활동현금흐름,단기대여금의 증가,134560354.0,123340148.0,,2147720.0,2816551.0,305563368.0,807518990.0,694552731.0
dart_PurchaseOfLongTermLoansAndReceivables,장기대여금및수취채권의 취득,Purchase of long-term loans and receivables,현금흐름표 [abstract],투자활동현금흐름,장기대여금및수취채권의 취득,,5000000.0,180000000.0,,12493150.0,,,
dart_PurchaseOfAvailableForSaleFinancialAssets,매도가능금융자산의 취득,Purchase of available-for-sale financial assets,현금흐름표 [abstract],투자활동현금흐름,매도가능금융자산의 취득,383259371.0,2670199046.0,2329481161.0,78378471.0,1000000000.0,19965266.0,1247481897.0,17377521.0
ifrs_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 취득,466224200.0,1938098313.0,1357637704.0,1133737656.0,9396399934.0,3700639479.0,18063050112.0,25641339978.0
ifrs_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,현금흐름표 [abstract],투자활동현금흐름,무형자산의 취득,1020135000.0,107620000.0,250000000.0,3709219707.0,4727253232.0,313820000.0,175855476.0,102700000.0
entity00599887_udf_CF_2018329132036538_CashFlowsFromUsedInInvestingActivities,파생금융상품의 증가,-,현금흐름표 [abstract],투자활동현금흐름,파생금융상품의 증가,,-193154858.0,193964414.0,,97370727.0,70700000.0,285400000.0,463470819.0
ifrs_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동현금흐름,,2162203155.0,227655309.0,38079550236.0,-26495402788.0,62321312440.0,48799913744.0,11214900940.0,25390415350.0
dart_ProceedsFromShortTermBorrowings,단기차입금의 증가,Proceeds from short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 증가,42629464151.0,30739448000.0,60214481185.0,8944687695.0,49999069824.0,36744188176.0,68599653830.0,46550000000.0
dart_ProceedsFromLongTermBorrowings,장기차입금의 증가,Proceeds from long term borrowings,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 증가,22000000000.0,27705000000.0,86836710403.0,5000000000.0,11053302444.0,77161150000.0,2186093400.0,15100000000.0
dart_ProceedsFromConvertibleBonds,전환사채의 증가,Proceeds from convertible bonds,현금흐름표 [abstract],재무활동현금흐름,전환사채의 증가,15000000000.0,,,,,,,
