"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
dart_ProceedsFromShortTermBorrowings,단기차입금의 증가,Proceeds from short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 증가,,34899000000.0,42629464151.0
dart_ProceedsFromLongTermBorrowings,장기차입금의 증가,Proceeds from long term borrowings,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 증가,,98117000.0,22000000000.0
dart_IncreaseInGuaranteeDepositsAsFinancialActivities,임대보증금의 증가,Increase in guarantee deposits as financial activities,현금흐름표 [abstract],재무활동현금흐름,임대보증금의 증가,,,
entity00599887_udf_CF_2019326134030758_CashFlowsFromUsedInFinancingActivities,유상증자,stock issue,현금흐름표 [abstract],재무활동현금흐름,유상증자,1642216000.0,,
entity00599887_udf_CF_201881314334919_CashFlowsFromUsedInFinancingActivities,수입보증금의 증가,decrease,현금흐름표 [abstract],재무활동현금흐름,수입보증금의 증가,,,300000.0
dart_ProceedsFromConvertibleBonds,전환사채의 증가,Proceeds from convertible bonds,현금흐름표 [abstract],재무활동현금흐름,전환사채의 증가,,,15000000000.0
entity00599887_udf_CF_2020210165338774_CashFlowsFromUsedInFinancingActivities,감자차익(주식소각),ddd,현금흐름표 [abstract],재무활동현금흐름,감자차익(주식소각),111229957798.0,,
entity00599887_udf_CF_2020210165424733_CashFlowsFromUsedInFinancingActivities,자기주식의 처분(주식소각),mmmm,현금흐름표 [abstract],재무활동현금흐름,자기주식의 처분(주식소각),1234806702.0,,
entity00599887_udf_CF_2020210165442458_CashFlowsFromUsedInFinancingActivities,매도가능증권평가이익,vudrkdldlrt,현금흐름표 [abstract],재무활동현금흐름,매도가능증권평가이익,712890222.0,,
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 상환,12530098494.0,35557518506.0,37274911000.0
entity00599887_udf_CF_20171113101652485_CashFlowsFromUsedInFinancingActivities,유동성장기차입금의 상환,Repayments of current portion of long-term borrowings,현금흐름표 [abstract],재무활동현금흐름,유동성장기차입금의 상환,32853937091.0,14146062913.0,37599999998.0
dart_RepaymentsOfLongTermBorrowings,장기차입금의 상환,Repayments of long term borrowings,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 상환,,6554216.0,2259999998.0
dart_DecreaseInGuaranteeDepositsAsFinancialActivities,임대보증금의 감소,Decrease in guarantee deposits as financial activities,현금흐름표 [abstract],재무활동현금흐름,임대보증금의 감소,1584062000.0,,182400000.0
dart_RepaymentsOfConvertibleBonds,전환사채의 감소,Repayments of convertible bonds,현금흐름표 [abstract],재무활동현금흐름,전환사채의 감소,15610605000.0,,150250000.0
entity00599887_udf_CF_2018117131128689_CashFlowsFromUsedInFinancingActivities,수입보증금의 감소,n/a,현금흐름표 [abstract],재무활동현금흐름,수입보증금의 감소,40000000.0,,
entity00599887_udf_CF_202021016558650_CashFlowsFromUsedInFinancingActivities,자본금의 감소(주식소각),thrkthrk,현금흐름표 [abstract],재무활동현금흐름,자본금의 감소(주식소각),-31993801000.0,,
ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [abstract],환율변동효과,,,24758552.0,-410898355.0
ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의순증가(감소),Net increase (decrease) in cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산의순증가(감소),,-1633522694.0,-7863699284.0,3415521808.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,9429150436.0,17292849720.0,13877327912.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,7795627742.0,9429150436.0,17292849720.0
