Statement of cash flows(Unit: KWR),20020101-20021231,20010101-20011231,20000101-20001231,19990101-19991231,19980101-19981231,19970101-19971231
label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
III.재무활동으로인한현금흐름,-29578884977.0,-9422816990.0,5885263691.0,-18211476200.0,-42197600683.0,4709373587.0
1.재무활동으로인한현금유입액,50265603366.0,99790202621.0,79117411792.0,47044131933.0,70593373474.0,83378464519.0
자본금의증가,,,5200000000.0,704060796.0,,
사채의발행,25000000000.0,35201041380.0,47671065351.0,43734986991.0,,
장기차입금의차입,,21000000000.0,,2442081866.0,,
예수보증금의증가,,,196000000.0,162800000.0,,
단기차입금의차입,24960354762.0,43418978522.0,15884563225.0,,,
미지급금의증가,,170182719.0,,,,
자본잉여금의증가,305248604.0,,10165783216.0,,,
2.재무활동으로인한현금유출액,-79844488343.0,-109213019611.0,-73232148101.0,-65255608133.0,112790974157.0,78669090932.0
단기차입금의상환,6000000000.0,39392797249.0,19900768149.0,20741683381.0,,
사채의상환,2462465532.0,8172325408.0,,,,
미지급금의지급,,-78154605.0,3080510996.0,10591962045.0,,
배당금의지급,2197570093.0,3316098548.0,,1261260440.0,,
유동성장기부채의상환,67609845518.0,38224000000.0,24233000000.0,18270500000.0,,
유동성외화장기부채의상환,,5912541900.0,632260800.0,666705600.0,,
장기성미지급금의상환,,238828131.0,403422574.0,,,
장기차입금의상환,1103607200.0,12575857000.0,11476880420.0,,,
예수보증금의감소,471000000.0,83000000.0,216000000.0,10000000.0,,
전환권대가의감소,,856692000.0,1239054593.0,578071329.0,,
전기오류수정손실,,519033980.0,,,,
VI.연결재무제표작성대상범위의변동으로인한현금의증가(감소),-244859625.0,,,,,
V.외화환산에따른조정액,-94184070.0,22670019.0,,,,
VI.현금의증가(감소)(I+II+III),-31443277660.0,27048501371.0,2642184163.0,-6067404003.0,,
VII.기초의현금,35057486936.0,8008985565.0,5366801402.0,6466293963.0,26303046433.0,49360049466.0
VIII.기말의현금,3275165581.0,35057486936.0,8008985565.0,398889960.0,24045105136.0,26303046433.0
