"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20111231,20101231,20091231,20081231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs_OtherNoncurrentFinancialLiabilities,당기손인인식금융부채,This Term  non-current financial liabilities,재무상태표 [abstract],부채  [abstract],비유동부채,당기손인인식금융부채,0.0,0.0,667904866.0,2497719754.0
dart_PostemploymentBenefitObligations,확정급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채  [abstract],비유동부채,확정급여부채,10520249631.0,9836828050.0,9749888452.0,
ifrs_NoncurrentPayables,기타비유동채무,Other Non-current payables,재무상태표 [abstract],부채  [abstract],비유동부채,기타비유동채무,3031584405.0,3766494196.0,4195191573.0,
ifrs_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채  [abstract],비유동부채,이연법인세부채,0.0,0.0,16212026992.0,19729431057.0
ifrs_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채  [abstract],부채총계,,1221418528726.0,1003651962506.0,1008222005647.0,911145943533.0
entity00155498_udf_BS_2012316161313514_EquityAbstract,지배기업소유주지분,NEWAccount for Equity (2),재무상태표 [abstract],자본 [abstract],지배기업소유주지분,,,,,
dart_ContributedEquity,자본금,Contributed equity,재무상태표 [abstract],자본 [abstract],자본금,,107600000000.0,107600000000.0,107600000000.0,107600000000.0
dart_ElementsOfOtherStockholdersEquity,자본잉여금,Elements of other stockholder's equity   ,재무상태표 [abstract],자본 [abstract],자본잉여금,,87514990770.0,83488325564.0,82461111638.0,
ifrs_TreasuryShares,자기주식,Treasury shares,재무상태표 [abstract],자본 [abstract],자본잉여금,자기주식,22230445101.0,22230445101.0,22230445101.0,-22230445101.0
dart_OtherCapitalSurplus,기타자본,Other capital surplus,재무상태표 [abstract],자본 [abstract],자본잉여금,기타자본,109745435871.0,105718770665.0,104691556739.0,
ifrs_RetainedEarnings,이익잉여금(결손금),Retained earnings,재무상태표 [abstract],자본 [abstract],이익잉여금(결손금),,-42277559154.0,-5939135791.0,71182763882.0,
entity00155498_udf_BS_2012316161118153_EquityAbstract,지배기업소유주지분 합계,NEWAccount for Equity (1),재무상태표 [abstract],자본 [abstract],지배기업소유주지분 합계,,152837431616.0,185149189773.0,261243875520.0,
ifrs_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,0.0,0.0,0.0,
ifrs_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,152837431616.0,185149189773.0,261243875520.0,277030176983.0
ifrs_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,1374255960342.0,1188801152279.0,1269465881167.0,
