"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20191231,20181231,20171231
dart_ShortTermOtherPayables,미지급금,Short-term other Payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,미지급금,714474390.0,23167100051.0,3231885824.0
dart_ShortTermAccruedExpenses,미지급비용,Short-term accrued Expenses,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,미지급비용,,5510396067.0,195763559.0
entity00599887_udf_BS_2018813213856253_TradeAndOtherCurrentPayables,당기법인세부채,unknown,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,당기법인세부채,,,1708398.0
dart_ShortTermWithholdings,예수금,Short-term withholdings,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,예수금,1267257101.0,200361794.0,109135040.0
dart_CurrentWorkoutPayables,유동회생채무,Current workout payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타유동채무,유동회생채무,37066990818.0,,
entity00599887_udf_BS_2017111393628943_CurrentLiabilities,파생금융상품,Derivatives transaction,재무상태표 [abstract],부채 [abstract],유동부채,파생금융상품,,,,
dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,,300000.0,40300000.0,59000000.0
ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,,6432951889.0,21676796364.0,25276919190.0
dart_LongTermTradeAndOtherNonCurrentPayables,장기매입채무 및 기타비유동채무,Long-term trade and other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무 및 기타비유동채무,,122596260.0,15250375929.0,12879444859.0
dart_LongTermBorrowingsGross,장기차입금,"Long-term borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기매입채무 및 기타비유동채무,장기차입금,,,996645225.0
