"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20181231,20171231,20161231,20151231,20141231,20131231,20121231,20111231,20101231,20100101
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
entity00112819_udf_BS_20171110233551643_NoncurrentAssets,공동기업투자,Corporate investment ,재무상태표 [abstract],자산 [abstract],비유동자산,공동기업투자,2416883570.0,107011284.0,,,,,,,,
dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,1325776791.0,676506898.0,419364347.0,531166665.0,629024286.0,862406988.0,1055160465.0,1216357166.0,1448538640.0,841550182.0
entity00112819_udf_BS_201932813843715_AssetsAbstract,매각예정비유동자산,Available financial assets,재무상태표 [abstract],자산 [abstract],매각예정비유동자산,,8909131975.0,,,,,,,,,
ifrs_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,66534301507.0,56039766039.0,53034331150.0,54275849468.0,53562843251.0,97539716618.0,89097524184.0,114724022951.0,143189700011.0,71287622933.0
ifrs_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,35282846484.0,26333632989.0,17379318521.0,21285163140.0,23306245865.0,60063034008.0,64900528217.0,88940080288.0,108363047530.0,42295443895.0
ifrs_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,700000000.0,,,,1500000000.0,21579562326.0,,,,
dart_ShortTermTradePayables,매입채무,Short-term trade Payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무,3867048061.0,3855270233.0,3674467838.0,5241776199.0,11936971240.0,14654006008.0,24364188538.0,38172145211.0,,
ifrs_TradeAndOtherCurrentPayables,기타채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,기타채무,3917156054.0,10685769514.0,5835361524.0,6456639441.0,3486409667.0,7628380318.0,6430710692.0,13490558697.0,,
ifrs_CurrentContractLiabilities,계약부채,Current contract liabilities,재무상태표 [abstract],부채 [abstract],유동부채,계약부채,316146562.0,,,,,,,,,
dart_CurrentPortionOfConvertibleBonds,전환사채,Current portion of convertible bonds,재무상태표 [abstract],부채 [abstract],유동부채,전환사채,20911834100.0,11314372697.0,7444467346.0,9236102913.0,6178875650.0,15981001327.0,,,,
