date,매출액,매출원가,매출총이익,판매비와관리비,영업이익(손실),기타이익,기타손실,금융수익,금융비용,법인세비용차감전순이익(손실),법인세비용,당기순이익(손실),기타포괄손익,총포괄손익,지배기업 소유주지분,비지배지분,지배기업 소유주지분,비지배지분,기본주당이익(손실),희석주당이익(손실),company
20191231,384531743425.0,388991146520.0,-4459403095.0,16135646613.0,-20595049708.0,2121669376.0,1551438176.0,568892060.0,17348909444.0,-36804835892.0,324960722.0,-37129796614.0,-78801572.0,-37208598186.0,-21841333960.0,-15288462654.0,-21920135532.0,-15288462654.0,-796.0,-796.0,삼강엠앤티
20181231,143966170303.0,165604170256.0,-21637999953.0,13693634195.0,-35331634148.0,532426940.0,15191712822.0,432242242.0,11058222153.0,-60616899941.0,-435800969.0,-60181098972.0,-167175432.0,-60348274404.0,-45328878270.0,-14852220702.0,-45496053702.0,-14852220702.0,-2126.0,-2126.0,삼강엠앤티
20171231,123068752891.0,129770442747.0,-6701689856.0,14269441593.0,-20971131449.0,111830353756.0,2392256276.0,1015444399.0,8214240989.0,81268169441.0,-14985981179.0,96254150620.0,559698277.0,96813848897.0,97180864920.0,-926714300.0,97740563197.0,-926714300.0,5766.0,4754.0,삼강엠앤티
