date,매출액,매출원가,매출총이익,판매비와관리비,영업이익,기타수익,기타비용,금융수익,금융비용,법인세비용차감전순이익,법인세비용,당기순이익,지배기업지분,비지배지분,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,기타포괄손익-공정가치 측정 금융자산 평가손익,후속적으로 당기손익으로 재분류되는 항목,해외사업환산손익,총포괄손익,지배기업지분,비지배지분,기본주당순손익,희석주당순손익,company
20191231,50079354553.0,43746983334.0,6332371219.0,4867462920.0,1464908299.0,42426901.0,113909729.0,201551233.0,344841112.0,1250135592.0,220374263.0,1029761329.0,1029761329.0,0.0,4476209.0,0.0,0.0,4476209.0,4476209.0,1034237538.0,1034237538.0,0.0,58.0,58.0,미래생명자원
20181231,35199453558.0,28965350429.0,6234103129.0,4252959708.0,1981143421.0,22676025.0,33935120.0,187829522.0,266975123.0,1890738725.0,114271778.0,1776466947.0,1776466947.0,0.0,13399647.0,8921072.0,8921072.0,4478575.0,4478575.0,1789866594.0,1789866594.0,0.0,105.0,102.0,미래생명자원
20171231,40926675548.0,34840932694.0,6085742854.0,4569532744.0,1516210110.0,267710469.0,3170974803.0,60161779.0,69222412.0,-1396114857.0,604413038.0,-2000527895.0,-2000527895.0,0.0,-37700929.0,0.0,0.0,-37700929.0,-37700929.0,-2038228824.0,-2038228824.0,0.0,-567.0,-567.0,미래생명자원
