date,매출액,매출원가,매출총이익,일반관리비,판매및물류비,대손상각비,영업이익(손실),기타수익,기타비용,이자수익,금융수익,금융비용,관계기업투자손익,법인세비용차감전순이익(손실),법인세비용,당기순이익(손실),기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),해외사업환산손익,관계기업의 기타포괄손익 지분,당기손익으로 재분류되지 않는항목(세후기타포괄손익),기타포괄손익-공정가치 지분상품 평가손익,자산재평가손익(세후기타포괄손익),확정급여제도의 재측정손익(세후기타포괄손익),총포괄손익,지배기업의 소유주에게 귀속되는 당기순이익(손실),비지배지분에 귀속되는 당기순이익(손실),총포괄의손익귀속,지배기업의 소유주에게 귀속되는 총포괄순이익(손실),비지배지분에 귀속될 총포괄순이익(손실),기본주당이익(손실),희석주당이익(손실),company
20191231,53365357987.0,59218652442.0,-5853294455.0,14577919529.0,611672188.0,849374026.0,-21892260198.0,1657295850.0,4458450552.0,214286027.0,1458807769.0,13120989114.0,-1901426522.0,-38042736740.0,7278084368.0,-30764652372.0,2121008752.0,10508902.0,8874612.0,1634290.0,2110499850.0,-73272468.0,2183772318.0,,-28643643620.0,-30710516618.0,-54135754.0,,-28589507866.0,-54135754.0,-2348.0,-2348.0,예스티
20181231,92091501086.0,78316317434.0,13775183652.0,12579799662.0,769921589.0,163288656.0,262173745.0,7541892539.0,3269733497.0,191002789.0,1379386133.0,7941480438.0,-305099089.0,-2141857818.0,1450878488.0,-690979330.0,-892473366.0,-205774251.0,4541327.0,-210315578.0,-686699115.0,-686699115.0,,,-1583452696.0,-690979330.0,,,-1583452696.0,,-64.0,-64.0,예스티
20171231,150431279969.0,122413052373.0,28018227596.0,10931769321.0,1315625738.0,26184011.0,15744648526.0,5505221484.0,4002805692.0,104021499.0,6866122083.0,1435724408.0,51888113.0,22833371605.0,-4390421711.0,18442949894.0,-18247475.0,-25539883.0,-22992849.0,-2547034.0,7292408.0,,,7292408.0,18424702419.0,18442949894.0,,,18424702419.0,,1725.0,1096.0,예스티
