date,매출액,매출원가,매출총이익,판매비와관리비,대손상각비,영업이익(손실),기타수익,기타비용,금융수익,금융비용,법인세비용차감전순이익(손실),법인세비용(수익),당기순이익(손실),지배기업의 소유주에게 귀속되는 당기순이익(손실),비지배지분에 귀속되는 당기순이익(손실),기타포괄손익,토지재평가이익,해외사업환산손익,총포괄손익,지배기업의 소유주에게 귀속되는 지분,비지배지분,기본주당이익(손실),희석주당이익(손실),company
20191231,55165315655.0,41172486075.0,13992829580.0,11778070750.0,14813978.0,2199944852.0,429649811.0,247547976.0,64101471.0,53232044.0,2392916114.0,443039481.0,1949876633.0,1226737558.0,723139075.0,1797039735.0,1801143798.0,-4104063.0,3746916368.0,3030102819.0,716813549.0,165.0,165.0,대한과학
20181231,47055603332.0,34462766573.0,12592836759.0,9925115985.0,77269384.0,2590451390.0,715693329.0,295691613.0,40177047.0,39236838.0,3011393315.0,494418457.0,2516974858.0,1785439379.0,731535479.0,-598416.0,,-598416.0,2516376442.0,1784840963.0,731535479.0,242.0,242.0,대한과학
20171231,41364830422.0,29555629924.0,11809200498.0,9876752220.0,,1932448278.0,575027568.0,762292625.0,12294599.0,95561613.0,1661916207.0,315759015.0,1346157192.0,1017767533.0,328389659.0,-44516030.0,,-44516030.0,1301641162.0,975359264.0,326281898.0,142.0,141.0,대한과학
