date,수익(매출액),매출원가,매출총이익,판매비와관리비,대손상각비,영업이익(손실),기타수익,기타의 대손상각비,기타비용,이자수익,금융수익,금융비용,법인세비용차감전순이익(손실),법인세비용,당기순이익(손실),비지배지분에 귀속되는 당기순이익(손실),지배기업의 소유주에게 귀속되는 당기순이익(손실),기타포괄손익,당기손익으로 재분류될 수 있는 항목(세전기타포괄손익),해외사업장환산외환차이(세전기타포괄이익),순확정급여부채의 재측정요소,총포괄손익,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분","총 포괄손익, 비지배지분",기본주당이익(손실),희석주당이익(손실),company
20191231,462077778626.0,389455738650.0,72622039976.0,44570060254.0,-375142831.0,28427122553.0,6640375480.0,10500000.0,13146449528.0,723878757.0,1866211961.0,12098347614.0,12402291609.0,2950822299.0,9451469310.0,0.0,9451469310.0,-338214939.0,,42617602.0,-380832541.0,9113254371.0,9113254371.0,0.0,671.0,625.0,AP시스템
20181231,714239792928.0,613068541414.0,101171251514.0,52688582125.0,2729827290.0,45752842099.0,12455181607.0,162782877.0,19865464075.0,737379794.0,1393271180.0,12366518742.0,27943908986.0,2716897078.0,25227011908.0,0.0,25227011908.0,-643886024.0,,-61619663.0,-582266361.0,24583125884.0,24583125884.0,0.0,1812.0,1659.0,AP시스템
20171231,962422667284.0,900346559283.0,62076108001.0,33226313035.0,2689929592.0,26159865374.0,16035988832.0,1157729877.0,17007031625.0,923369821.0,5755262392.0,4393533214.0,26316191703.0,7228126970.0,19088064733.0,0.0,19088064733.0,196965290.0,,-140632.0,197105922.0,19285030023.0,19285030023.0,0.0,1395.0,1249.0,AP시스템
