date,매출액,매출원가,매출총이익,판매비와관리비,영업이익,기타수익,기타비용,금융수익,금융비용,법인세비용차감전순이익,법인세비용,당기순이익,당기순이익의 귀속,지배기업 소유주지분,비지배지분,기타포괄손익,후속적으로 당기손익으로 재분류되는 기타포괄손익,매도가능금융자산평가손익,해외사업환산손익,후속적으로 당기손익으로 재분류되지 않는 기타포괄손익,순확정급여부채의 재측정요소,기타포괄공정가치측정금융자산평가이익,총포괄이익,총포괄이익의 귀속,지배기업 소유주지분,비지배지분,기본주당순손익,희석주당순손익,company
20191231,66720013075.0,57397379368.0,9322633707.0,7745015344.0,1577618363.0,1239230382.0,1407276214.0,464951760.0,782148962.0,1092375329.0,109615698.0,982759631.0,,982759631.0,0.0,1123640023.0,53950009.0,0.0,53950009.0,1069690014.0,-161675807.0,1231365821.0,2106399654.0,,2106399654.0,0.0,60.0,60.0,HRS
20181231,74617790222.0,62087690762.0,12530099460.0,8969943518.0,3560155942.0,1403211345.0,13951916523.0,89404927.0,725858861.0,-9625003170.0,-2143205327.0,-7481797843.0,,-7481797843.0,0.0,-82049030.0,-19749268.0,0.0,-19749268.0,-62299762.0,-281479762.0,219180000.0,-7563846873.0,,-7563846873.0,0.0,-457.0,-457.0,HRS
20171231,67720042187.0,52525691488.0,15194350699.0,7526075839.0,7668274860.0,1404985797.0,841085051.0,106635631.0,395306278.0,7943504959.0,1655650151.0,6287854808.0,,6287854808.0,0.0,-117862144.0,-70908638.0,74986600.0,-145895238.0,-46953506.0,-46953506.0,0.0,6169992664.0,,6169992664.0,0.0,384.0,384.0,HRS
