date,매출액,매출원가,매출총이익,판매비와관리비,영업이익(손실),기타수익,기타비용,금융수익,금융비용,지분법손익,법인세비용차감전순이익(손실),법인세비용(수익),당기순이익(손실),지배기업의 소유주에게 귀속되는 당기순손익,비지배지분에 귀속되는 당기순손익,기타포괄손익,당기손익으로 재분류되지 않는 항목,순확정급여부채의 재측정요소,기타포괄손익공정가치금융자산 평가손익,유형자산재평가잉여금,후속적으로 당기손익으로 재분류되는 항목,해외사업환산손익,지분법자본변동,당기총포괄이익,지배회사의 소유주 지분,비지배지분,기본주당이익(손실),희석주당이익(손실),company
20191231,695685232873.0,655972307862.0,39712925011.0,20704283609.0,19008641402.0,3136827723.0,111495191962.0,3956733824.0,2638145973.0,4823820929.0,-83207314057.0,-17638917164.0,-65568396893.0,-64342310980.0,-1226085913.0,6700367297.0,5202872226.0,-2385107472.0,27763125.0,7560216573.0,1497495071.0,1871379327.0,-373884256.0,-58868029596.0,-57688080118.0,-1179949478.0,-4277.0,-4216.0,성도이엔지
20181231,529153973379.0,487558333120.0,41595640259.0,21030105121.0,20565535138.0,9845042303.0,15202306221.0,1992241291.0,1172857348.0,4345674351.0,20373329514.0,3056026435.0,17317303079.0,17432845166.0,-115542087.0,-1880467693.0,-1837497949.0,-1835591824.0,-1906125.0,0.0,-42969744.0,-99137335.0,56167591.0,15436835386.0,15497884133.0,-61048747.0,1154.0,1146.0,성도이엔지
20171231,391339341092.0,350083528674.0,41255812418.0,16399532485.0,24856279933.0,2443146685.0,1699294699.0,1719776692.0,3325956755.0,5050415004.0,29044366860.0,7808901693.0,21235465167.0,22112079992.0,-876614825.0,-9577819984.0,-1333500223.0,-1333500223.0,0.0,0.0,-8244319761.0,-7929027988.0,-315291773.0,11657645183.0,12486037685.0,-828392502.0,1480.0,1457.0,성도이엔지
