date,매출액,매출원가,매출총이익,판매비와관리비,영업이익(손실),기타수익,기타비용,금융수익,금융비용,법인세비용차감전순이익(손실),법인세비용(수익),당기순이익(손실),기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 포괄손익,순확정급여부채의 재측정요소,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),매도가능금융자산평가손익,해외사업환산손익,총포괄손익,기본주당이익(손실),company
20191231,114371312.0,92187413.0,22183899.0,16396358.0,5787541.0,94945.0,87670.0,162177.0,1117261.0,4839732.0,-2893572.0,1946160.0,132098.0,,230395.0,,,-98297.0,2078258.0,0.1,잉글우드랩
20181231,107939820.0,90255015.0,17684805.0,17938218.0,-253413.0,29678.0,3462854.0,241586.0,934286.0,-4379289.0,-981834.0,-5361123.0,-233295.0,,45999.0,,,-279294.0,-5594418.0,-0.27,잉글우드랩
20171231,77053750.0,66017926.0,11035824.0,18881216.0,-7845392.0,21402.0,5647799.0,525190.0,444831.0,-13391430.0,1119202.0,-12272228.0,2595956.0,,-37912.0,,2518898.0,114970.0,-9676272.0,-0.63,잉글우드랩
