date,매출액,매출원가,매출총이익,판매비와관리비,영업이익(손실),기타수익,기타비용,금융수익,금융원가,지분법이익,법인세비용차감전순이익(손실),법인세비용,당기순이익(손실),기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),기타장기금융자산평가손,해외사업환산손익,당기손익으로 재분류되지 않는 항목,기타포괄손익 - 공정가치 측정 금융상품 평가손익,총포괄손익,지배기업의 소유주에게 귀속되는 당기순이익(손실),비지배지분에 귀속되는 당기순이익(손실),지배기업의 소유주 지분,비지배지분,기본주당이익(손실),희석주당이익(손실),company
20191231,323487856346.0,241623927819.0,81863928527.0,63676255733.0,18187672794.0,608274014.0,398467801.0,6059427677.0,5035275063.0,8259335.0,19429890956.0,5253636837.0,14176254119.0,3149937003.0,3161876831.0,0.0,3161876831.0,-11939828.0,-11939828.0,17326191122.0,13945753119.0,230501000.0,16954250219.0,371940903.0,1359.0,1359.0,제우스
20181231,453591917716.0,343966165356.0,109625752360.0,69517593944.0,40108158416.0,725696323.0,1842960230.0,6691149879.0,4097881704.0,512185579.0,42096348263.0,11053813292.0,31042534971.0,3214126684.0,3232612684.0,0.0,3232612684.0,-18486000.0,-18486000.0,34256661655.0,30707194172.0,335340799.0,33767731503.0,488930152.0,2990.0,2990.0,제우스
20171231,359108583822.0,261157861671.0,97950722151.0,64925820229.0,33024901922.0,236877905.0,647156528.0,3825872160.0,11038167714.0,0.0,25402327745.0,6531643514.0,18870684231.0,-3100176651.0,-3100176651.0,81598612.0,-3181775263.0,0.0,0.0,15770507580.0,18751306391.0,119377840.0,15651129740.0,119377840.0,1808.0,1808.0,제우스
