date,매출액,매출원가,매출총이익,판매비와관리비,영업이익,기타수익,기타비용,금융수익,금융비용,법인세비용차감전순이익,법인세비용,당기순손익,지배기업 소유주지분,비지배지분,기타포괄손익,후속적으로 당기손익으로 재분류되는 포괄손익,해외사업환산손익,후속적으로 당기손익으로 재분류되지 않는 포괄손익,보험수리적손익,총포괄이익,지배기업 소유주지분,비지배지분,기본주당순이익,company
20191231,177224394730.0,163288128220.0,13936266510.0,20826173301.0,-6889906791.0,1950909932.0,639555499.0,1986792913.0,529131834.0,-4120891279.0,392131406.0,-4513022685.0,-4513022685.0,,-1355387980.0,,24825839.0,,-1380213819.0,-5868410665.0,-5868410665.0,,-463.0,로보스타
20181231,193174244270.0,171773247567.0,21400996703.0,19158450601.0,2242546102.0,364853629.0,951691904.0,1937387989.0,816668284.0,2776427532.0,3970519243.0,-1194091711.0,-1136080548.0,-58011163.0,460831307.0,,-27794396.0,,488625703.0,-733260404.0,-675249241.0,-58011163.0,-131.0,로보스타
20171231,206521698595.0,176543636638.0,29978061957.0,19516200660.0,10461861297.0,312084677.0,470583718.0,546209514.0,2515832500.0,8333739270.0,855675771.0,7478063499.0,7591441215.0,-113377716.0,-707430687.0,,-521566439.0,,-185864248.0,6770632812.0,6884010528.0,-113377716.0,973.0,로보스타
