date,수익(매출액),매출원가,매출총이익,판매비와관리비,영업이익(손실),기타이익,기타손실,금융수익,금융원가,지분법손익,법인세비용차감전순이익(손실),법인세비용,당기순이익(손실),기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),해외사업장환산외환차이(세후기타포괄손익),당기손익으로 재분류되지 않는항목(세후기타포괄손익),확정급여제도의 재측정손익(세후기타포괄손익),지분상품에 대한 투자자산의 세후기타포괄손익,총포괄손익,지배기업의 소유주에게 귀속되는 당기순이익(손실),"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",기본주당이익(손실),희석주당이익(손실),company
20191231,121604632064.0,87255802557.0,34348829507.0,20053201930.0,14295627577.0,900614181.0,59092270.0,2748148957.0,1893965792.0,-30649541.0,16021982194.0,4870213816.0,11151768378.0,-10598754.0,4218729.0,4218729.0,-14817483.0,-14817483.0,,11141169624.0,11151768378.0,11141169624.0,701.0,701.0,아이씨디
20181231,233974936899.0,175720516026.0,58254420873.0,18555722357.0,39698698516.0,1178480823.0,5452474845.0,2761130139.0,3954224513.0,33267598.0,34198342522.0,4364715421.0,29833627101.0,134040110.0,1185486.0,1185486.0,132854624.0,215670696.0,-82816072.0,29967667211.0,29833627101.0,29967667211.0,1858.0,1770.0,아이씨디
20171231,311847747945.0,256124646625.0,55723101320.0,18844350199.0,36878751121.0,335585014.0,2530396000.0,1013881760.0,6946985260.0,,28750836635.0,4259633806.0,24491202829.0,-74752339.0,-3543189.0,-3543189.0,-71209150.0,-71209150.0,,24416450490.0,24491202829.0,24416450490.0,1520.0,1412.0,아이씨디
