date,매출액,매출원가,매출총이익,판매비와관리비,영업이익,기타수익,기타비용,금융수익,금융비용,지분법손익,법인세비용차감전순이익,법인세비용,당기순이익(손실),지배기업소유주지분,비지배지분,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,순확정급여부채의 재측정요소,후속적으로 당기손익으로 재분류될 수 있는 항목,지분법자본변동,매도가능금융자산평가손익,지배기업소유주지분,비지배지분,기본주당이익,희석주당이익,company
20191231,74944340962.0,66458489341.0,8485851621.0,4379771381.0,4106080240.0,534516014.0,1833685843.0,405020832.0,1922200492.0,7402014.0,1297132765.0,318799319.0,978333446.0,998517645.0,-20184199.0,-373990697.0,-373990697.0,-373990697.0,,,,604342749.0,,43.0,43.0,오르비텍
20181231,69213196219.0,60969961256.0,8243234963.0,4068002209.0,4175232754.0,144723714.0,312172810.0,386818244.0,1269500307.0,-2656832.0,3122444763.0,-253565671.0,3376010434.0,3430697764.0,-54687330.0,-22022118.0,-22022118.0,-22022118.0,,,,3367158010.0,-13169694.0,149.0,148.0,오르비텍
20171231,47516202361.0,40324481126.0,7191721235.0,3553220672.0,3638500563.0,99441498.0,161130904.0,546070895.0,1617312045.0,-19079229.0,2486490778.0,-104548726.0,2591039504.0,2591039504.0,,19452600.0,27149823.0,27149823.0,-7697223.0,-10471840.0,2774617.0,2610492104.0,,150.0,143.0,오르비텍
