date,매출액,매출원가,매출총이익,판매비와관리비,영업손실,금융수익,금융원가,기타이익,기타손실,관계기업관련손익,법인세비용차감전순손실,법인세비용,당기순이익(손실),지배기업 순손실,비지배지분 순이익,기타포괄손익,당기손익으로 재분류될 수 있는 항목,지분법자본변동,당기손익으로 재분류되지 않는항목,확정급여제도의 재측정요소,총포괄손익,지배기업지분 포괄손익,비지배지분 포괄손익,기본주당이익(손실),희석주당이익(손실),company
20191231,31861191505.0,26918913256.0,4942278249.0,7808060508.0,-2865782259.0,96858995.0,630185546.0,467345252.0,1742502496.0,-331413181.0,-5005679235.0,0.0,-5005679235.0,-5020288203.0,14608968.0,36329042.0,7140758.0,7140758.0,29188284.0,29188284.0,-4969350193.0,-4983959161.0,14608968.0,-309.0,-309.0,ITX엠투엠
20181231,27666210201.0,22984841391.0,4681368810.0,8306892127.0,-3625523317.0,57526843.0,312063840.0,3023692902.0,1186927776.0,125433779.0,-1917861409.0,0.0,-1917861409.0,-1917861409.0,0.0,-484850770.0,-3958644.0,-3958644.0,-480892126.0,-480892126.0,-2402712179.0,-2402712179.0,0.0,-118.0,-118.0,ITX엠투엠
20171231,31094348791.0,22775542332.0,8318806459.0,7927978237.0,390828222.0,116769477.0,386259726.0,617683594.0,1076135123.0,0.0,-337113556.0,,-337113556.0,-337113556.0,0.0,858822307.0,-12882321.0,-12882321.0,871704628.0,871704628.0,521708751.0,521708751.0,0.0,-24.0,-24.0,ITX엠투엠
