date,수익(매출액),매출원가,매출총이익,판매관리비,경상개발비,영업이익(손실),금융수익,금융비용,지분법투자손익,기타영업외수익,기타영업외비용,법인세비용차감전순이익(손실),법인세비용,당기순이익(손실),지배기업의 소유주에게 귀속되는 당기순이익(손실),비지배지분에 귀속되는 당기순이익(손실),기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,기타포괄손익-공정가치측정금융자산 평가손익,당기손익으로 재분류되지 않는 항목의 법인세,후속적 당기손익 재분류 가능 항목,해외사업환산손익,지분법자본변동,매도가능금융자산평가이익,당기손익으로 재분류될 수 있는 항목의 법인세,당기총포괄손익,지배기업의 소유주,비지배지분,기본주당이익(손실),희석주당이익(손실),company
20191231,196206589070.0,130906502366.0,65300086704.0,34516063493.0,8073792033.0,22710231178.0,259934666.0,3193484022.0,247876197.0,13336262936.0,11816055927.0,21544765028.0,4308532349.0,17236232679.0,17261947630.0,-25714951.0,4528296250.0,589175434.0,755353121.0,-166177687.0,3939120816.0,3931504320.0,7616496.0,0.0,0.0,21764528929.0,21790243880.0,-25714951.0,768.0,765.0,DMS
20181231,298717912214.0,222750210188.0,75967702026.0,35114933728.0,10509191316.0,30343576982.0,99688393.0,3560114344.0,1151917430.0,16379758423.0,22546800641.0,21868026243.0,6683897725.0,15184128518.0,15210302998.0,-26174480.0,1816907261.0,-927545598.0,-1189161023.0,261615425.0,2744452859.0,2741895836.0,2557023.0,0.0,0.0,17001035779.0,17027210259.0,-26174480.0,662.0,657.0,DMS
20171231,268731600513.0,207523598515.0,61208001998.0,35259079723.0,9325614149.0,16623308126.0,257346435.0,2956465428.0,1048213323.0,13397366057.0,23534119415.0,4835649098.0,978046896.0,3857602202.0,3888495475.0,-30893273.0,-596427379.0,0.0,0.0,0.0,-596427379.0,-28652397.0,-5083762.0,-721399000.0,158707780.0,3261174823.0,3292068096.0,-30893273.0,171.0,169.0,DMS
