date,수익(매출액),제품 및 용역매출액,기타수익(매출액),매출원가,제품 및 용역매출원가,매출총이익,판매비와관리비,영업이익(손실),기타이익,기타손실,금융수익,금융원가,법인세비용차감전순이익(손실),법인세비용,당기순이익(손실),기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 포괄손익,보험수리적손실,기타포괄손익-공정가치측정 금융자산 평가손익,후속적으로 당기손익으로 재분류되는 포괄손익,매도가능증권평가이익,총포괄손익,기본주당이익(손실),희석주당이익(손실),company
20191231,49953293715.0,48924012893.0,1029280822.0,37967055959.0,37967055959.0,11986237756.0,8200872974.0,3785364782.0,177490403.0,153901229.0,3768182264.0,407847926.0,7169288294.0,2369005934.0,4800282360.0,-139702031.0,-139702031.0,-142937939.0,3235908.0,0.0,0.0,4660580329.0,396.0,396.0,비아트론
20181231,129129270694.0,128629399118.0,499871576.0,92104969781.0,92104969781.0,37024300913.0,7804607181.0,29219693732.0,104920932.0,55903945.0,4019602417.0,2033715315.0,31254597821.0,6770766239.0,24483831582.0,90488976.0,90488976.0,87350412.0,3138564.0,0.0,0.0,24574320558.0,2021.0,2021.0,비아트론
20171231,100780806399.0,100632689961.0,148116438.0,71213356569.0,71213356569.0,29567449830.0,8745931617.0,20821518213.0,106571918.0,71737307.0,1830434202.0,7613592014.0,15073195012.0,2901849746.0,12171345266.0,20172021.0,-33643793.0,-33643793.0,0.0,53815814.0,53815814.0,12191517287.0,1004.0,1004.0,비아트론
