date,매출,매출원가,매출총이익,판매비와관리비,영업이익(손실),기타수익,기타비용,금융수익,금융비용,법인세비용차감전순이익(손실),법인세비용,당기순이익(손실),지배기업소유주지분,비지배지분,기타포괄손익,후속적으로 당기손익으로 재분류될 수 있는 항목,지분법자본변동,해외사업환산손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),보험수리적이익(손실),총포괄손익,지배기업소유주지분,비지배지분,기본주당이익(손실),희석주당이익(손실),company
20191231,65034696920.0,60513593297.0,4521103623.0,4842571142.0,-321467519.0,223247259.0,475883089.0,998197034.0,962071335.0,-537977650.0,294302333.0,-832279983.0,-832279983.0,,878629856.0,,,-138517880.0,,740111976.0,46349873.0,46349873.0,,-45.0,-45.0,엔피케이
20181231,67274847174.0,61555292681.0,5719554493.0,5625653918.0,93900575.0,204601266.0,185665353.0,646584481.0,566517448.0,192903521.0,461033719.0,-268130198.0,-263964095.0,-4166103.0,-931175601.0,,10436888.0,209990837.0,,-731621652.0,-1199305799.0,-1199053529.0,-252270.0,-14.0,-14.0,엔피케이
20171231,73092699797.0,65768249365.0,7324450432.0,5303411779.0,2021038653.0,265206536.0,144795929.0,507512136.0,696204415.0,1952756981.0,125891298.0,1826865683.0,1817171880.0,9693803.0,402995761.0,,-25917505.0,,,428913266.0,2229861444.0,2229886706.0,-25262.0,130.0,130.0,엔피케이
