date,당기순이익,기타포괄손익,후속적으로 당기손익으로 재분류될 수 있는 항목,기타포괄손익-공정가치측정 채무상품 평가손익,해외사업환산손익,법인세효과,후속적으로 당기손익으로 재분류되지 않는 항목,순확정급여부채의 재측정요소,기타포괄손익-공정가치 지분상품 평가손익,법인세효과,총포괄손익,지배기업 소유주지분,비지배지분,company
20191231,146968500221.0,3428603012.0,5175648514.0,81134089.0,5115358064.0,-20843639.0,-1747045502.0,-1997642137.0,-270025100.0,520621735.0,150397103233.0,131897795287.0,18499307946.0,에스에프에이
20181231,169672428843.0,3880752271.0,5279494668.0,451882575.0,4935712057.0,-108099964.0,-1398742397.0,-662309251.0,-1194114314.0,457681168.0,173553181114.0,158669601995.0,14883579119.0,에스에프에이
20171231,203335873301.0,-16481888472.0,-17067677959.0,24431564.0,-17086734579.0,-5374944.0,585789487.0,681393284.0,0.0,-95603797.0,186853984829.0,189766048503.0,-2912063674.0,에스에프에이
