date,수익(매출액),매출원가,매출총이익,판매비와관리비,영업이익(손실),금융수익,금융원가,기타이익,기타손실,지분법관련손익,법인세비용차감전순이익(손실),법인세비용,당기순이익(손실),기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),확정급여제도의 재측정손익(세후기타포괄손익),지분법 자본변동,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),매도가능금융자산평가손익(세후기타포괄손익),지분법 변동,해외사업환산손익,총포괄손익,지배기업의 소유주에게 귀속되는 당기순이익(손실),비지배지분에 귀속되는 당기순이익(손실),"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분","총 포괄손익, 비지배지분",기본주당이익(손실),희석주당이익(손실),company
20191231,11785340131.0,9908217768.0,1877122363.0,6433498256.0,-4556375893.0,11274893963.0,10737186371.0,20746762488.0,10532291742.0,-2084202892.0,4111599553.0,932286.0,4110667267.0,287954982.0,,0.0,,287954982.0,,,287954982.0,4398622249.0,6058626423.0,-1947959156.0,6346581405.0,-1947959156.0,41.0,41.0,코디엠
20181231,36581925922.0,37518441959.0,-936516037.0,9764067797.0,-10700583834.0,6407486737.0,2278229143.0,4433031652.0,2454362948.0,-5805210757.0,-10397868293.0,1747594184.0,-12145462477.0,96729666.0,,,,96729666.0,,58864627.0,37865039.0,-12048732811.0,-12109572192.0,35890285.0,12012861261.0,35871549.0,88.0,88.0,코디엠
20171231,73499953715.0,65184949591.0,8315004124.0,11690725448.0,-3375721324.0,1702890691.0,2854487875.0,4642493676.0,929995658.0,-3163400769.0,-3978221259.0,69684174.0,-4047905433.0,952727416.0,-19436479.0,,-19436479.0,972163895.0,166007102.0,1044220480.0,-238063687.0,-3095178017.0,3299575665.0,748329768.0,2346848249.0,748329768.0,46.0,46.0,코디엠
