date,수익(매출액),매출원가,매출총이익,판매비와관리비,영업이익(손실),기타이익,기타손실,금융수익,이자수익,배당금수익(금융수익),금융보증(계약)수익,금융원가,이자비용,지분법손실,법인세비용차감전순이익(손실),법인세비용,당기순이익(손실),기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),총포괄손익,지배기업의 소유주에게 귀속되는 당기순이익(손실),비지배지분에 귀속되는 당기순이익(손실),"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분","총 포괄손익, 비지배지분",기본주당이익(손실),희석주당이익(손실),company
20191231,167160372873.0,146075849858.0,21084523015.0,27648895034.0,-6564372019.0,22136008550.0,11722085211.0,3300389610.0,3287432660.0,12956950.0,0.0,3745160208.0,3745160208.0,64376407.0,3340404315.0,3129642016.0,210762299.0,15867047.0,15867047.0,226629346.0,3659337232.0,-3448574933.0,3675204279.0,-3448574933.0,105.0,105.0,톱텍
20181231,308791515682.0,281499726125.0,27291789557.0,19064724602.0,8227064955.0,20405139016.0,1545404221.0,3473232911.0,3470770911.0,2462000.0,0.0,314321200.0,314321200.0,16623593.0,30229087868.0,12538297283.0,17690790585.0,5886002.0,5886002.0,17696676587.0,19755967309.0,-2065176724.0,19761853311.0,-2065176724.0,546.0,546.0,톱텍
20171231,1138438649883.0,907370287787.0,231068362096.0,19369904907.0,211698457189.0,14742913909.0,37405606247.0,3215015179.0,3045910297.0,2009650.0,167095232.0,2052895924.0,2052895924.0,,190197884106.0,40731764365.0,149466119741.0,310115480.0,310115480.0,149776235221.0,149563680186.0,-97560445.0,149873795666.0,-97560445.0,4151.0,4151.0,톱텍
