date,매출,매출원가,매출총이익,판매비와관리비,판매비,관리비,연구개발비,영업이익(손실),금융이익,금융원가,기타영업외이익,기타영업외비용,법인세비용차감전순이익(손실),법인세비용,당기순이익(손실),기타포괄손익,확정급여제도의 재측정요소,당기손익으로 재분류되지 않는 항목의 법인세,해외사업장환산외환차이,총포괄손익,지배기업의 소유주,지배기업의 소유주,기본주당이익(손실),company
20191231,79780176235.0,65124599487.0,14655576748.0,10393357274.0,577430446.0,8165616972.0,1650309856.0,4262219474.0,242230719.0,872393146.0,1249336954.0,940611713.0,3940782288.0,2743983372.0,1196798916.0,-395325323.0,-529872270.0,116571899.0,17975048.0,801473593.0,1196798916.0,801473593.0,80.0,로체시스템즈
20181231,73998396133.0,66171920260.0,7826475873.0,8866425499.0,274907308.0,7747542601.0,843975590.0,-1039949626.0,178275066.0,282827816.0,1179800867.0,1862625622.0,-1827327131.0,-468512780.0,-1358814351.0,429025354.0,536068137.0,-117934990.0,10892207.0,-929788997.0,-1358814351.0,-929788997.0,-91.0,로체시스템즈
20171231,337000209272.0,313836718552.0,23163490720.0,21090012049.0,3035742062.0,15452300601.0,2601969386.0,2073478671.0,111435014.0,246108892.0,4323920530.0,2506166757.0,3756558566.0,439323323.0,3317235243.0,-378870008.0,-452673540.0,99588179.0,-25784647.0,2938365235.0,3317235243.0,2938365235.0,227.0,로체시스템즈
