date,수익(매출액),매출원가,매출총이익,판매비와관리비,영업이익(손실),금융수익,금융원가,기타이익,기타손실,관계기업투자손익,법인세비용차감전순이익(손실),법인세비용,당기순이익(손실),지배기업의 소유주에게 귀속되는 당기순이익(손실),비지배지분에 귀속되는 당기순이익(손실),기타포괄손익,: 후속적으로 당기손익으로 재분류되지 않는 포괄손익,보험수리적손익,기타포괄손익-공정가치측정금융자산평가손익,지분법이익잉여금,: 후속적으로 당기손익으로 재분류되는 포괄손익,해외사업환산손익,기타포괄손익-공정가치측정금융자산평가손익,지분법자본조정,총포괄손익,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분","총 포괄손익, 비지배지분",기본주당이익(손실),희석주당이익(손실),company
20191231,236170141901.0,126828366594.0,109341775307.0,71103349830.0,38238425477.0,6204464768.0,10050540547.0,1222259781.0,3394478530.0,-3484358871.0,28735772078.0,6760150794.0,21975621284.0,7960851812.0,14014769472.0,1772784770.0,,-36724726.0,194229725.0,-245962239.0,,1908022795.0,23951938.0,-70732723.0,23748406054.0,8591240766.0,15157165288.0,259.0,259.0,미코
20181231,227421583485.0,121672792639.0,105748790846.0,60386074836.0,45362716010.0,2827629815.0,6569112785.0,893633759.0,712029498.0,-2362739967.0,39440097334.0,7119787755.0,32320309579.0,13903301854.0,18417007725.0,-801584666.0,,-1189645581.0,-385037453.0,179246159.0,,1010553421.0,-20737630.0,-395963582.0,31518724913.0,12962554247.0,18556170666.0,452.0,452.0,미코
20171231,183916090332.0,100054847376.0,83861242956.0,54751684281.0,29109558675.0,1724786753.0,4832170158.0,5314751388.0,3005061685.0,-2813964141.0,25497900832.0,6427537257.0,19070363575.0,9138361918.0,9932001657.0,-4438728596.0,,-1119495003.0,0.0,0.0,,-3329782568.0,10548975.0,0.0,14631634979.0,6837589789.0,7794045190.0,303.0,300.0,미코
