date,매출액.,매출원가,매출총이익,판매비와관리비,매출채권손상차손,영업이익(손실),순금융손익,금융수익,금융비용,기타영업외손익,기타영업외수익,기타영업외비용,법인세비용차감전순이익(손실),법인세비용,당기순이익(손실).,법인세비용차감후기타포괄이익(손실),후속적으로 당기손익으로 재분류될수있는 항목,확정급여제도의재측정요소,후속적으로 당기손익으로 재분류되지 않는 항목,해외사업환산외환차이,총포괄이익.,지배기업  소유주지분,비지배지분,지배기업 소유주지분.,비지배지분,기본주당손익,희석주당손익,company
20191231,281348171458.0,227514840387.0,53833331071.0,30455284988.0,,23378046083.0,687364431.0,1623772511.0,936408080.0,2667511783.0,5452880490.0,2785368707.0,26732922297.0,5608990562.0,21123931735.0,-310056683.0,,-815410806.0,,505354123.0,20813875052.0,21078626287.0,45305448.0,20772395591.0,41479461.0,1991.0,1991.0,세경하이테크
20181231,256592700518.0,197385166599.0,59207533919.0,20610752036.0,,38596781883.0,-2046639621.0,705843544.0,2752483165.0,1569405431.0,4040048228.0,2470642797.0,38119547693.0,6322569103.0,31796978590.0,402748881.0,,-330157502.0,,732906383.0,32199727471.0,31796978590.0,,32199727471.0,,3429.0,3429.0,세경하이테크
20171231,102214767003.0,89733764700.0,12481002303.0,12157339376.0,-115041036.0,438703963.0,886870159.0,1453142119.0,566271960.0,-4767076773.0,631301763.0,5398378536.0,-3441502651.0,726395941.0,-2715106710.0,118856447.0,,825890816.0,,-707034369.0,-2596250263.0,-2715106710.0,,-2596250263.0,,-605.0,-718.0,세경하이테크
