date,수익(매출액),매출원가,매출총이익,판매비와관리비,영업이익(손실),기타이익,기타손실,금융수익,금융원가,법인세비용차감전순이익(손실),법인세비용,당기순이익(손실),지배기업의 소유주에게 귀속되는 당기순이익(손실),비지배지분에 귀속되는 당기순이익(손실),기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),지분상품에 대한 투자자산의 세후기타포괄손익,확정급여제도의 재측정손익(세후기타포괄손익),총포괄손익,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분","총 포괄손익, 비지배지분",기본주당이익(손실),company
20191231,98620698865.0,69315809804.0,29304889061.0,3147193848.0,26157695213.0,659209426.0,1793264025.0,1154153815.0,1999770310.0,24178024119.0,5753167166.0,18424856953.0,18424856953.0,0.0,-243536013.0,-243536013.0,2855736.0,-246391749.0,18181320940.0,18181320940.0,0.0,1012.0,와이엔텍
20181231,76070963217.0,58456978919.0,17613984298.0,2679668024.0,14934316274.0,548537758.0,2212655699.0,275887709.0,1450949407.0,12095136635.0,3061931545.0,9033205090.0,9033205090.0,0.0,81469871.0,81469871.0,699192.0,80770679.0,9114674961.0,9114674961.0,0.0,496.0,와이엔텍
20171231,75231069096.0,58745035433.0,16486033663.0,3960890287.0,12525143376.0,5157476244.0,1431617432.0,190346968.0,1600160938.0,14841188218.0,3259576185.0,11581612033.0,11504984125.0,76627908.0,-53152870.0,-53152870.0,1934010.0,-55086880.0,11528459163.0,11451831255.0,76627908.0,632.0,와이엔텍
