date,매출액,매출원가,매출총이익,판매비와관리비,영업이익,기타수익,기타비용,금융수익,금융비용,지분법손익,법인세비용차감전순이익(손실),계속영업법인세비용,계속영업당기순이익,중단영업당기순이익,당기순이익,지배기업소유주지분,비지배지분,기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,매도가능금융자산평가손익,기타포괄손익-공정가치금융자산평가손익,부의지분법자본변동,해외사업환산손익,후속적으로 당기손익으로 재분류되지 않는 항목,확정급여제도의 재측정요소,총포괄손익,지배기업소유주지분,비지배지분,기본주당이익,계속영업기본주당이익,중단영업기본주당이익,company
20191231,112451242995.0,74526436120.0,37924806875.0,24236955461.0,13687851414.0,980779772.0,824084220.0,4173942231.0,1004458640.0,-308679526.0,16705351031.0,2793490287.0,13911860744.0,0.0,13911860744.0,7000106488.0,6911754256.0,-125834300.0,-100891304.0,0.0,-125609658.0,0.0,24718354.0,-24942996.0,-24942996.0,13786026444.0,6866297646.0,6919728798.0,424.0,424.0,0.0,유비쿼스홀딩스
20181231,86222033770.0,49080164909.0,37141868861.0,19720115153.0,17421753708.0,555796444.0,189639694.0,3752508202.0,2690153382.0,126044639.0,18976309917.0,2307823660.0,16668486257.0,0.0,16668486257.0,8999789347.0,7668696910.0,457737625.0,457737625.0,0.0,430592423.0,4970898.0,22174304.0,0.0,0.0,17126223882.0,9458548062.0,7667675820.0,578.0,578.0,0.0,유비쿼스홀딩스
20171231,7773041810.0,1144845916.0,6628195894.0,5061926785.0,1566269109.0,264445640.0,69976215.0,6211261117.0,1167144430.0,4306822771.0,11111677992.0,2300704752.0,8810973240.0,87883258315.0,96694231555.0,96694231555.0,0.0,-973885098.0,-973885098.0,-926551213.0,0.0,-4970898.0,-42362987.0,0.0,0.0,95720346457.0,95720346457.0,0.0,6686.0,609.0,6077.0,유비쿼스홀딩스
