date,수익(매출액),매출원가,매출총이익,판매비와관리비,영업이익(손실),금융수익,금융원가,기타이익,기타손실,법인세비용차감전순이익(손실),법인세비용,계속사업당기순이익(손실),중단사업당기순이익(손실),당기순이익(손실),지배기업의 소유주에게 귀속되는 당기순이익(손실),비지배지분에 귀속되는 당기순이익(손실),기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),총포괄손익,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분","총 포괄손익, 비지배지분",기본주당이익(손실),계속영업기본주당이익(손실),중단영업기본주당이익(손실),company
20191231,28980983511.0,26309312528.0,2671670983.0,5007292739.0,-2335621756.0,171365041.0,370206674.0,1038577.0,17905250.0,-2551330062.0,606033202.0,-3157363264.0,0.0,-3157363264.0,-3157363264.0,0.0,-4418000565.0,-4418000565.0,-7575363829.0,-7575363829.0,0.0,-11.0,-11.0,0.0,이트론
20181231,8470642442.0,7974460330.0,496182112.0,4929429926.0,-4433247814.0,516671533.0,434208439.0,137907148.0,2039715459.0,-6252593031.0,-18662820.0,-6233930211.0,0.0,-6233930211.0,-6233930211.0,0.0,-12808212731.0,-12808212731.0,-19042142942.0,-19042142942.0,0.0,-29.0,-29.0,0.0,이트론
20171231,15563155382.0,13654359970.0,1908795412.0,1694528850.0,214266562.0,1301977286.0,707271436.0,5905830.0,105832257.0,709045985.0,10064608.0,698981377.0,-2562734618.0,-1863753241.0,-1863753241.0,0.0,121608329.0,121608329.0,-1742144912.0,-1742144912.0,0.0,-10.0,4.0,-14.0,이트론
