date,당기순이익(손실),기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),확정급여제도의 재측정손익(세후기타포괄손익),기타포괄손익-공정가치 지분증권 평가손익,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),해외사업장환산외환차이(세후기타포괄손익),매도가능금융자산평가손익(세후기타포괄손익),지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),총포괄손익,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분","총 포괄손익, 비지배지분",company
20191231,18083886051.0,-165665771.0,,-231129174.0,-9019749.0,-13496652.0,,58490706.0,,29489098.0,17918220280.0,13215487921.0,4702732359.0,동국산업
20181231,2038893006.0,1523024848.0,,1895898644.0,-331624301.0,-62682240.0,,-6726084.0,,28158829.0,3561917854.0,12116830717.0,-8554912863.0,동국산업
20171231,22799815323.0,-169947834.0,,1195177331.0,,12482760.0,,-390905444.0,-996919560.0,10217079.0,22629867489.0,20185097442.0,2444770047.0,동국산업
