date,매출액,매출원가,매출총이익,판매비와관리비,영업이익,기타수익,기타비용,금융수익,금융비용,법인세비용차감전순이익,법인세비용,당기순이익,지배기업의 소유주지분,비지배지분,기타포괄손익,후속기간에 당기손익으로 재분류 되는 항목,해외사업환산손실,기타포괄손익-공정가치금융자산평가손익,매도가능금융자산평가손익,후속기간에 당기손익으로 재분류되지 않는 항목,확정급여제도의 재측정요소,총포괄손익,지배기업 소유주지분,비지배지분,기본주당이익(손실),희석주당이익(손실),company
20191231,150245826353.0,106711802338.0,43534024015.0,44563227411.0,-1029203396.0,2886545470.0,615918413.0,2532344420.0,1489053543.0,2284714538.0,408303566.0,1876410972.0,1867112891.0,9298081.0,470529455.0,,477793584.0,22264372.0,,,-29528501.0,2346940427.0,2337642346.0,9298081.0,146.0,125.0,엘오티베큠
20181231,169314396804.0,109835450737.0,59478946067.0,40526769129.0,18952176938.0,1046369586.0,717957590.0,1881461839.0,1554503558.0,19607547215.0,2765780498.0,16841766717.0,16452630179.0,389136538.0,-281305855.0,,-322320339.0,8466643.0,,,32547841.0,16560460862.0,16171324324.0,389136538.0,1266.0,1194.0,엘오티베큠
20171231,200745089917.0,138481976552.0,62263113365.0,34611658740.0,27651454625.0,900718694.0,529022208.0,2561321453.0,1945138014.0,28639334550.0,4298130523.0,24341204027.0,24404660284.0,-63456257.0,221591194.0,,-75258568.0,,13825849.0,,283023913.0,24562795221.0,24626251478.0,-63456257.0,1969.0,1897.0,엘오티베큠
