"[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
entity00442145_udf_IS_2018814133052149_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,기타포괄손익관련법인세,Income tax related to other comprehensive income,포괄손익계산서 [abstract],기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),기타포괄손익관련법인세,192442131.0,494371913.0,26134470.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순이익(손실),"Profit (loss), attributable to owners of parent",포괄손익계산서 [abstract],당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),,19587872900.0,25472603586.0,-847667576.0
entity00442145_udf_IS_201881492421465_ProfitLossAttributableToOwnersOfParent,계속영업이익(손실),Operating profit,포괄손익계산서 [abstract],당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),계속영업이익(손실),19587872900.0,25391615503.0,536488409.0
entity00442145_udf_IS_201881492451934_ProfitLossAttributableToOwnersOfParent,중단영업이익(손실),Discontinued operating profit,포괄손익계산서 [abstract],당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),중단영업이익(손실),,80988083.0,-1384155985.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분에 귀속되는 당기순이익(손실),"Profit (loss), attributable to non-controlling interests",포괄손익계산서 [abstract],당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),,,50167910.0,-968909189.0
entity00442145_udf_IS_201881494437316_ProfitLossAttributableToNoncontrollingInterests,계속영업이익(손실),Operating profit,포괄손익계산서 [abstract],당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),계속영업이익(손실),,,
entity00442145_udf_IS_201881494445307_ProfitLossAttributableToNoncontrollingInterests,중단영업이익(손실),Discontinued operating profit,포괄손익계산서 [abstract],당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),중단영업이익(손실),,50167910.0,-968909189.0
ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,18702161497.0,23825906281.0,-2080307271.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분","Comprehensive income, attributable to owners of parent",포괄손익계산서 [abstract],총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",,18702161497.0,23775738371.0,-1111398082.0
entity00442145_udf_IS_201881494552659_ComprehensiveIncomeAttributableToOwnersOfParent,계속영업이익(손실),Operating profit,포괄손익계산서 [abstract],총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",계속영업이익(손실),18702161497.0,23694750288.0,272757903.0
entity00442145_udf_IS_20188149462739_ComprehensiveIncomeAttributableToOwnersOfParent,중단영업이익(손실),Discontinued operating profit,포괄손익계산서 [abstract],총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",중단영업이익(손실),,80988083.0,-1384155985.0
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,"총 포괄손익, 비지배지분","Comprehensive income, attributable to non-controlling interests",포괄손익계산서 [abstract],총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",,,50167910.0,-968909189.0
entity00442145_udf_IS_201881494644283_ComprehensiveIncomeAttributableToNoncontrollingInterests,계속영업이익(손실),Operating profit,포괄손익계산서 [abstract],총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",계속영업이익(손실),,,
entity00442145_udf_IS_2018814947126_ComprehensiveIncomeAttributableToNoncontrollingInterests,중단영업이익(손실),Discontinued operating profit,포괄손익계산서 [abstract],총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",중단영업이익(손실),,50167910.0,-968909189.0
ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,포괄손익계산서 [abstract],주당이익 [abstract],기본주당이익(손실),,1364.0,1719.0,-59.0
ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,계속영업기본주당이익(손실),Basic earnings (loss) per share from continuing operations,포괄손익계산서 [abstract],주당이익 [abstract],기본주당이익(손실),계속영업기본주당이익(손실),1364.0,1714.0,37.0
ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,중단영업기본주당이익(손실),Basic earnings (loss) per share from discontinued operations,포괄손익계산서 [abstract],주당이익 [abstract],기본주당이익(손실),중단영업기본주당이익(손실),,5.0,-96.0
ifrs-full_DilutedEarningsLossPerShare,희석주당이익(손실),Diluted earnings (loss) per share,포괄손익계산서 [abstract],주당이익 [abstract],희석주당이익(손실),,1363.0,1719.0,-59.0
ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,계속영업희석주당이익(손실),Diluted earnings (loss) per share from continuing operations,포괄손익계산서 [abstract],주당이익 [abstract],희석주당이익(손실),계속영업희석주당이익(손실),1363.0,1713.0,37.0
ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,중단영업희석주당이익(손실),Diluted earnings (loss) per share from discontinued operations,포괄손익계산서 [abstract],주당이익 [abstract],희석주당이익(손실),중단영업희석주당이익(손실),,6.0,-96.0
